,web-scraper-order,web-scraper-start-url,img,title,date,location,created_in,year
15,1591721298-8221,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Van_gogh_peasant_woman_darning_stockings_f157_jh712.jpg/1024px-Van_gogh_peasant_woman_darning_stockings_f157_jh712.jpg,Peasant Woman Darning Stockings,March 1885,Private collection,Nuenen,[1885]
16,1591721298-9150,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Snowy_Yard_jh_342.jpg/1024px-Snowy_Yard_jh_342.jpg,Snowy Yard,21-28 March 1883,"Van Gogh Museum, Amsterdam",The Hague,[1883]
17,1591721298-8834,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Van_Gogh_-_Landschaft_mit_Olivenbaum_und_Bergkette_im_Hintergrund.jpeg/1024px-Van_Gogh_-_Landschaft_mit_Olivenbaum_und_Bergkette_im_Hintergrund.jpeg,Landscape with Olive Tree and Mountains in the Background,December 1889,Private collection,Saint-Rémy,[1889]
18,1591721298-8370,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Van_Gogh_-_Vase_mit_Gladiolen_und_Flieder.jpeg/1024px-Van_Gogh_-_Vase_mit_Gladiolen_und_Flieder.jpeg,Vase with Gladioli and Lilac,1886,Private collection,Paris,[1886]
19,1591721298-9159,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Cemetery_jh_396.jpg/1024px-Cemetery_jh_396.jpg,Cemetery,17 September 1883,"Van Gogh Museum, Amsterdam",Drenthe,[1883]
20,1591721298-8892,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Vincent_van_Gogh_-_Houses_at_Auvers_-_Google_Art_Project.jpg/1024px-Vincent_van_Gogh_-_Houses_at_Auvers_-_Google_Art_Project.jpg,Houses at Auvers,June 1890,Toledo Museum of Art,Auvers-sur-Oise,[1890]
21,1591721298-8360,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Vincent_van_Gogh_-_Le_Moulin_de_blute-fin%281886%29.jpg/1024px-Vincent_van_Gogh_-_Le_Moulin_de_blute-fin%281886%29.jpg,Le Blute-Fin Mill,1886,"Museum de Fundatie, Zwolle",Paris,[1886]
22,1591721298-9088,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Flowering_Rosebushes_in_the_Asylum_Garden_%28also_Flowering_Shrubs%29.jpg/1024px-Flowering_Rosebushes_in_the_Asylum_Garden_%28also_Flowering_Shrubs%29.jpg,Flowering Shrubs,May 1889,"Kröller-Müller Museum, Otterlo",Saint-Rémy,[1889]
23,1591721298-8881,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Van_Gogh_-_Das_Haus_von_P%C3%A8re_Pilon.jpeg/1024px-Van_Gogh_-_Das_Haus_von_P%C3%A8re_Pilon.jpeg,The House of Père Pilon,May 1890,Private collection,Auvers-sur-Oise,[1890]
24,1591721298-8852,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Vincent_van_Gogh_-_Almond_blossom_-_Google_Art_Project.jpg/1024px-Vincent_van_Gogh_-_Almond_blossom_-_Google_Art_Project.jpg,Almond Blossoms,February 1890,"Van Gogh Museum, Amsterdam",Saint-Rémy,[1890]
